popularity,tempo,energy,danceability
1,138.715,0.329,0.274
1,98.305,0.865,0.692
1,142.601,0.772,0.725
1,102.946,0.547,0.583
0,139.361,0.851,0.312
1,76.621,0.66,0.627
0,113.083,0.609,0.754
0,147.813,0.671,0.238
1,92.474,0.494,0.617
1,138.114,0.703,0.654
0,71.1,0.315,0.435
0,117.412,0.369,0.272
0,130.216,0.443,0.408
0,93.21,0.384,0.507
0,152.79,0.425,0.625
0,103.089,0.395,0.393
1,104.058,0.407,0.802
1,77.496,0.361,0.311
0,72.296,0.453,0.376
1,74.407,0.425,0.187
1,106.476,0.401,0.726
0,105.634,0.344,0.475
1,174.249,0.642,0.66
1,92.659,0.669,0.546
1,64.253,0.623,0.515
1,106.662,0.452,0.654
0,167.825,0.227,0.321
1,141.112,0.449,0.382
1,167.383,0.732,0.429
1,102.905,0.303,0.513
1,105.638,0.436,0.599
0,109.133,0.76,0.467
0,125.006,0.795,0.614
1,103.496,0.219,0.476
0,90.589,0.229,0.245
0,108.661,0.641,0.399
1,175.092,0.579,0.427
0,124.861,0.408,0.356
1,94.156,0.619,0.665
1,131.047,0.631,0.458
0,125.936,0.553,0.492
0,141.199,0.323,0.297
1,93.271,0.57,0.448
0,134.811,0.435,0.851
1,139.517,0.536,0.536
1,114.091,0.51,0.626
0,80.05,0.0889,0.148
1,96.242,0.411,0.589
1,106.036,0.358,0.412
1,154.57,0.54,0.72
1,74.919,0.273,0.23
0,113.902,0.626,0.558
0,79.416,0.445,0.494
1,135.008,0.364,0.804
0,85.157,0.123,0.533
0,145.853,0.68,0.482
0,81.189,0.433,0.468
1,122.141,0.501,0.714
0,76.588,0.478,0.389
0,87.254,0.249,0.157
0,75.577,0.0509,0.687
0,70.167,0.292,0.213
0,75.32,0.23,0.317
1,78.015,0.647,0.629
1,125.445,0.557,0.661
0,105.767,0.253,0.668
1,81.984,0.433,0.527
1,126.836,0.571,0.585
0,87.867,0.543,0.404
1,140.155,0.741,0.501
1,110.305,0.374,0.525
0,122.869,0.577,0.693
1,89.803,0.505,0.411
1,137.976,0.536,0.699
0,123.569,0.399,0.551
0,169.618,0.925,0.322
0,122.005,0.475,0.462
0,85.574,0.498,0.49
0,113.16,0.609,0.496
0,83.811,0.286,0.389
0,113.528,0.271,0.376
1,110.175,0.286,0.337
1,97.581,0.542,0.663
0,97.163,0.625,0.671
1,142.037,0.566,0.41
0,140.17,0.705,0.808
0,104.09,0.278,0.628
0,137.301,0.732,0.555
0,137.904,0.307,0.233
1,171.82,0.842,0.49
0,110.565,0.286,0.453
1,173.819,0.232,0.253
0,101.028,0.148,0.412
1,96.109,0.803,0.683
0,94.157,0.274,0.389
1,150.224,0.903,0.7
0,96.669,0.748,0.386
1,145.304,0.534,0.555
0,153.46,0.621,0.514
1,127.699,0.383,0.318
0,130.023,0.341,0.509
0,130.644,0.535,0.65
0,101.384,0.226,0.428
1,152.633,0.753,0.56
0,81.853,0.29,0.414
0,142.6,0.184,0.6
1,144.358,0.272,0.52
0,128.514,0.529,0.696
1,113.265,0.725,0.713
1,121.276,0.641,0.692
1,78.626,0.26,0.526
1,110.226,0.471,0.752
0,96.504,0.633,0.194
1,107.705,0.34,0.549
0,131.041,0.398,0.579
1,127.629,0.857,0.595
1,117.2,0.584,0.295
0,93.847,0.544,0.629
1,104.884,0.404,0.477
1,155.648,0.557,0.38
0,79.571,0.122,0.256
1,138.357,0.324,0.598
0,101.867,0.226,0.487
1,110.075,0.749,0.573
1,106.801,0.683,0.612
1,116.065,0.557,0.619
1,119.614,0.315,0.482
0,98.673,0.455,0.623
0,134.704,0.401,0.729
1,169.935,0.235,0.253
0,181.408,0.32,0.474
0,67.141,0.35,0.33
1,144.338,0.674,0.388
1,107.659,0.625,0.833
1,121.962,0.672,0.588
0,168.005,0.325,0.344
0,104.149,0.324,0.348
0,82.295,0.305,0.362
1,143.486,0.744,0.752
0,144.248,0.102,0.458
1,101.785,0.136,0.612
1,186.611,0.434,0.329
0,94.205,0.669,0.611
1,81.638,0.784,0.536
1,106.933,0.693,0.234
1,72.494,0.633,0.558
0,111.524,0.561,0.83
0,125.015,0.597,0.626
0,86.117,0.192,0.306
0,105.608,0.288,0.644
0,113.252,0.545,0.446
1,103.264,0.452,0.396
0,100.29,0.282,0.553
1,82.438,0.13,0.41
1,92.255,0.379,0.336
0,89.132,0.486,0.467
0,130.802,0.601,0.271
0,66.286,0.249,0.319
0,79.771,0.517,0.626
1,137.483,0.581,0.603
0,126.659,0.538,0.522
1,147.289,0.566,0.503
0,77.595,0.372,0.401
0,137.176,0.0532,0.28
1,149.215,0.697,0.562
0,136.871,0.67,0.285
1,81.706,0.527,0.663
1,106.608,0.597,0.571
1,109.946,0.579,0.629
1,95.261,0.721,0.483
1,137.453,0.782,0.665
1,129.137,0.414,0.634
0,95.281,0.219,0.575
0,179.558,0.0634,0.404
0,109.777,0.36,0.277
0,121.665,0.714,0.596
0,130.763,0.73,0.563
1,111.902,0.661,0.799
0,91.975,0.081,0.284
0,102.86,0.241,0.495
0,103.586,0.227,0.418
0,134.417,0.17,0.62
1,124.251,0.412,0.716
0,85.672,0.124,0.36
1,132.145,0.635,0.683
1,140.558,0.591,0.604
1,81.673,0.53,0.832
0,150.251,0.236,0.606
1,184.38,0.659,0.26
0,133.476,0.685,0.43
0,57.001,0.292,0.211
1,110.44,0.229,0.584
0,88.83,0.237,0.122
0,134.157,0.495,0.371
1,119.809,0.582,0.498
0,131.854,0.179,0.342
1,81.315,0.649,0.589
1,102.429,0.151,0.706
0,108.629,0.212,0.504
0,88.427,0.135,0.247
1,116.482,0.287,0.733
1,132.411,0.578,0.504
0,129.849,0.465,0.507
1,91.099,0.365,0.396
1,101.752,0.384,0.534
1,91.983,0.161,0.465
1,104.114,0.41,0.506
0,69.687,0.454,0.23
1,101.05,0.478,0.295
1,140.794,0.504,0.376
1,99.083,0.25,0.514
0,118.471,0.312,0.545
1,183.318,0.591,0.359
0,113.22,0.403,0.508
1,173.854,0.727,0.576
1,106.518,0.418,0.281
1,120.764,0.194,0.775
0,95.812,0.17,0.526
0,121.987,0.267,0.489
0,121.959,0.419,0.526
1,123.917,0.524,0.635
0,144.924,0.445,0.435
1,84.443,0.425,0.544
0,98.022,0.435,0.672
1,105.24,0.246,0.517
1,143.415,0.909,0.491
1,102.507,0.167,0.711
1,118.314,0.436,0.474
1,107.573,0.575,0.596
1,120.006,0.0937,0.862
0,179.789,0.14,0.415
1,80.692,0.454,0.401
0,59.906,0.187,0.155
1,170.335,0.864,0.368
1,113.249,0.408,0.714
0,168.183,0.533,0.519
0,124.9,0.544,0.631
1,97.475,0.593,0.572
0,97.758,0.189,0.493
1,100.904,0.431,0.432
1,97.04,0.427,0.432
1,170.483,0.31,0.277
1,104.129,0.295,0.505
1,170.548,0.484,0.482
1,91.374,0.436,0.418
0,112.725,0.342,0.517
0,48.409,0.385,0.487
1,168.147,0.358,0.451
1,124.165,0.672,0.522
0,68.608,0.165,0.122
1,167.194,0.465,0.53
0,114.047,0.132,0.587
1,124.08,0.701,0.635
0,133.587,0.78,0.613
0,102.689,0.319,0.564
1,79.451,0.463,0.405
1,69.601,0.266,0.498
1,118.735,0.718,0.322
0,84.386,0.32,0.237
0,130.698,0.278,0.41
0,150.554,0.401,0.482
0,77.872,0.159,0.25
1,79.141,0.469,0.417
1,136.173,0.413,0.761
1,115.717,0.367,0.461
0,115.81,0.521,0.788
0,116.649,0.515,0.417
1,155.56,0.657,0.424
1,90.688,0.509,0.632
0,127.109,0.579,0.432
1,125.396,0.722,0.703
1,108.737,0.453,0.486
1,131.166,0.555,0.531
1,80.339,0.572,0.341
1,107.028,0.864,0.684
1,51.409,0.324,0.424
0,103.176,0.333,0.363
0,95.963,0.65,0.13
0,78.191,0.361,0.477
0,131.177,0.868,0.574
1,130.627,0.769,0.747
0,141.932,0.489,0.579
1,172.378,0.41,0.417
0,100.875,0.925,0.632
0,125.897,0.342,0.688
0,120.918,0.385,0.328
0,103.976,0.429,0.559
0,156.925,0.325,0.415
0,108.126,0.241,0.619
0,130.949,0.635,0.427
0,103.631,0.934,0.559
0,97.505,0.55,0.51
0,150.591,0.808,0.617
1,138.514,0.186,0.795
1,80.041,0.152,0.475
0,103.96,0.242,0.49
0,113.793,0.578,0.602
1,117.111,0.7,0.537
0,102.642,0.807,0.607
0,101.849,0.383,0.657
0,131.591,0.181,0.443
0,86.058,0.235,0.535
1,124.678,0.565,0.521
1,174.525,0.506,0.477
1,119.508,0.51,0.752
0,83.2,0.346,0.259
1,95.735,0.368,0.388
0,115.328,0.94,0.633
1,111.43,0.125,0.466
1,117.792,0.217,0.584
0,99.261,0.673,0.488
1,135.958,0.165,0.588
1,101.586,0.115,0.534
1,139.6,0.619,0.602
1,82.556,0.738,0.558
0,99.415,0.293,0.251
1,117.962,0.363,0.818
0,80.216,0.299,0.43
1,73.172,0.259,0.211
0,88.813,0.144,0.242
1,122.156,0.484,0.529
0,96.901,0.0642,0.229
0,99.877,0.712,0.138
0,133.828,0.733,0.568
0,107.092,0.849,0.479
1,115.255,0.516,0.764
1,97.7,0.648,0.68
1,135.633,0.643,0.595
1,113.892,0.559,0.78
0,159.349,0.574,0.567
1,112.535,0.752,0.7
0,91.871,0.571,0.483
1,109.705,0.329,0.646
1,136.181,0.599,0.587
0,71.635,0.57,0.592
0,72.182,0.0948,0.176
0,134.625,0.374,0.702
1,145.986,0.852,0.331
0,151.44,0.535,0.721
1,107.155,0.532,0.784
0,130.967,0.656,0.435
0,106.763,0.0714,0.485
0,172.087,0.619,0.415
0,144.565,0.281,0.679
0,106.441,0.122,0.457
0,104.491,0.525,0.571
0,102.013,0.337,0.556
1,104.578,0.553,0.524
0,147.372,0.0972,0.198
0,113.66,0.559,0.554
0,116.491,0.704,0.702
0,176.717,0.115,0.192
0,142.782,0.211,0.676
1,127.647,0.612,0.682
0,119.662,0.37,0.523
0,81.846,0.187,0.223
1,82.884,0.636,0.552
1,104.024,0.448,0.63
1,125.474,0.769,0.647
0,82.055,0.339,0.29
1,138.752,0.545,0.664
1,143.468,0.272,0.65
0,179.315,0.23,0.236
1,96.818,0.503,0.695
0,95.542,0.513,0.655
0,122.012,0.264,0.571
1,86.945,0.341,0.262
0,106.902,0.218,0.274
0,95.263,0.286,0.583
0,101.974,0.578,0.599
1,101.227,0.168,0.529
0,114.053,0.549,0.326
1,145.735,0.6,0.608
1,135.905,0.706,0.549
1,106.06,0.634,0.301
1,138.029,0.428,0.508
1,139.057,0.795,0.588
1,176.89,0.43,0.198
0,100.562,0.0718,0.653
0,90.834,0.287,0.419
0,155.365,0.699,0.439
1,78.793,0.455,0.544
0,121.512,0.14,0.519
0,98.645,0.68,0.528
0,92.692,0.219,0.436
1,185.624,0.283,0.247
1,178.607,0.428,0.138
0,146.522,0.518,0.464
0,88.062,0.521,0.196
0,145.816,0.587,0.567
0,101.474,0.814,0.523
0,114.533,0.0488,0.536
1,155.751,0.503,0.403
1,104.612,0.477,0.551
1,129.176,0.566,0.538
0,88.07,0.721,0.574
1,116.156,0.651,0.651
0,110.624,0.498,0.332
1,142.111,0.612,0.592
0,121.174,0.295,0.41
1,65.578,0.66,0.62
0,168.64,0.446,0.41
0,100.51,0.438,0.441
0,130.241,0.149,0.317
1,114.273,0.376,0.653
1,110.006,0.298,0.478
1,100.657,0.428,0.361
0,98.755,0.208,0.243
0,85.68,0.276,0.152
0,90.469,0.722,0.595
1,115.348,0.913,0.601
0,176.097,0.714,0.664
1,178.156,0.769,0.523
0,117.33,0.586,0.486
0,133.802,0.615,0.403
0,104.132,0.329,0.541
0,97.354,0.188,0.516
1,151.726,0.423,0.5
1,85.786,0.438,0.508
0,87.702,0.417,0.196
1,107.06,0.242,0.648
0,119.084,0.11,0.191
1,151.617,0.743,0.656
0,88.72,0.521,0.685
0,100.502,0.19,0.388
1,182.117,0.83,0.298
1,91.452,0.227,0.612
1,108.312,0.61,0.6
1,126.229,0.533,0.517
1,143.004,0.515,0.652
1,109.783,0.406,0.339
1,92.801,0.459,0.644
0,100.577,0.909,0.666
1,135.997,0.67,0.699
1,119.831,0.688,0.61
1,91.813,0.68,0.502
0,119.606,0.184,0.674
0,139.54,0.156,0.302
1,90.528,0.608,0.587
0,111.636,0.403,0.471
1,73.874,0.391,0.188
1,83.026,0.356,0.244
0,85.524,0.302,0.349
0,81.398,0.502,0.237
1,91.722,0.734,0.546
0,157.184,0.667,0.768
0,134.443,0.188,0.237
0,77.321,0.292,0.59
1,133.998,0.485,0.579
1,105.008,0.96,0.574
1,124.839,0.598,0.469
1,81.642,0.338,0.251
1,79.065,0.217,0.443
1,114.282,0.468,0.558
1,145.872,0.937,0.282
0,96.753,0.221,0.422
0,95.527,0.253,0.508
0,134.697,0.343,0.474
1,80.201,0.659,0.59
1,81.18,0.453,0.479
0,117.615,0.399,0.689
1,138.216,0.701,0.48
1,83.969,0.185,0.154
0,82.391,0.338,0.425
0,99.683,0.645,0.673
1,80.33,0.289,0.259
0,72.905,0.194,0.533
0,87.27,0.0277,0.531
1,88.849,0.593,0.517
0,175.488,0.695,0.323
0,91.439,0.447,0.378
0,116.901,0.43,0.611
1,124.34,0.815,0.602
0,121.684,0.832,0.568
1,82.755,0.529,0.549
1,103.669,0.44,0.529
1,86.487,0.367,0.27
1,172.476,0.516,0.419
0,80.731,0.547,0.431
0,184.81,0.662,0.481
1,101.708,0.387,0.622
0,96.876,0.51,0.645
0,89.85,0.206,0.188
0,118.629,0.445,0.519
0,111.165,0.291,0.538
1,121.199,0.474,0.321
1,162.154,0.873,0.53
0,101.83,0.684,0.585
0,118.064,0.288,0.416
0,86.372,0.303,0.243
0,93.599,0.516,0.597
0,104.435,0.403,0.432
0,150.225,0.742,0.628
1,107.714,0.551,0.714
1,117.495,0.536,0.753
0,62.338,0.443,0.362
1,130.832,0.637,0.525
1,97.195,0.589,0.498
0,128.585,0.603,0.441
1,81.545,0.446,0.677
0,75.733,0.359,0.443
0,87.861,0.323,0.616
1,162.193,0.796,0.493
0,81.108,0.333,0.445
1,151.58,0.468,0.534
1,127.74,0.43,0.621
0,130.047,0.151,0.362
1,119.705,0.424,0.754
1,108.5,0.697,0.697
1,87.432,0.341,0.357
1,102.786,0.274,0.283
0,81.843,0.209,0.298
1,148.72,0.637,0.542
0,79.881,0.621,0.495
1,104.84,0.557,0.473
1,77.051,0.312,0.429
1,129.664,0.893,0.636
1,103.079,0.309,0.423
1,113.379,0.431,0.748
0,80.633,0.117,0.199
1,102.213,0.529,0.647
0,135.203,0.766,0.549
0,166.058,0.188,0.214
1,125.166,0.594,0.608
1,133.493,0.23,0.639
0,101.352,0.327,0.441
1,92.815,0.419,0.337
0,93.859,0.39,0.366
1,117.022,0.514,0.79
1,133.337,0.34,0.716
1,178.91,0.484,0.298
0,145.782,0.677,0.44
1,73.006,0.18,0.635
1,85.01,0.112,0.442
1,89.121,0.359,0.512
0,98.585,0.723,0.648
0,99.288,0.262,0.399
1,111.872,0.647,0.798
1,126.007,0.33,0.298
1,109.099,0.441,0.406
0,132.927,0.508,0.677
0,126.962,0.17,0.205
0,98.421,0.298,0.41
1,98.661,0.78,0.559
1,84.072,0.335,0.416
1,107.266,0.852,0.5
0,168.881,0.357,0.465
0,135.053,0.623,0.414
1,138.837,0.857,0.623
1,104.05,0.498,0.404
1,175.344,0.344,0.212
0,111.322,0.219,0.389
1,134.867,0.371,0.657
1,98.013,0.383,0.469
1,97.872,0.815,0.455
0,98.602,0.682,0.544
1,79.952,0.128,0.463
1,136.094,0.574,0.492
1,92.033,0.457,0.606
1,100.969,0.741,0.524
1,163.802,0.801,0.522
0,60.444,0.119,0.384
1,112.523,0.513,0.506
1,138.591,0.742,0.552
1,123.375,0.5,0.431
1,173.126,0.712,0.545
0,89.328,0.495,0.599
0,124.51,0.947,0.468
1,85.049,0.202,0.179
1,163.861,0.742,0.604
0,102.315,0.211,0.584
1,105.345,0.221,0.654
1,120.818,0.34,0.711
0,144.208,0.16,0.431
1,133.269,0.503,0.8
1,104.598,0.555,0.409
0,170.953,0.379,0.182
1,116.634,0.66,0.659
1,116.657,0.494,0.473
0,104.676,0.303,0.446
0,81.633,0.0895,0.286
0,83.751,0.327,0.429
1,140.692,0.771,0.712
0,132.578,0.92,0.443
1,99.076,0.391,0.36
1,118.653,0.112,0.412
0,121.742,0.403,0.528
